,Agente1,Agente2,ClientesComun
870,22072,25264,2
871,21435,24492,2
872,15169,22168,2
873,18314,19011,2
874,10149,26824,2
875,16895,24042,2
876,12220,17074,2
877,3432,17746,2
878,1803,7862,2
879,17321,24274,2
880,15521,19553,2
881,17278,21122,2
882,17445,22909,2
883,20421,27259,2
884,23514,26740,2
885,12313,22843,2
886,21269,25957,2
887,23944,30351,2
888,4842,26937,2
889,6839,25187,2
890,14594,18690,2
891,16547,17286,2
892,13998,21405,2
893,13776,23295,2
894,2755,12858,2
895,11088,18356,2
896,23790,29979,2
897,11026,15005,2
898,11623,18356,2
899,9280,29274,2
900,17278,19489,2
901,17278,22803,2
902,9764,25983,2
903,13823,17386,2
904,18434,29054,2
905,6006,17240,2
906,18394,29054,2
907,16012,20841,2
908,6569,20230,2
909,21981,29649,2
910,6674,20168,2
911,3045,14944,2
912,10806,16114,2
913,18804,21597,2
914,11036,12429,2
915,17848,21380,2
916,13028,18356,2
917,24095,25252,2
918,21337,24569,2
919,9326,24616,2
920,20564,25466,2
921,20203,24492,2
922,20901,22652,2
923,17999,28210,2
924,7433,25997,2
925,1653,28110,2
926,22290,25205,2
927,25460,27734,2
928,6098,16934,2
929,24095,25637,2
930,9686,18356,2
931,11625,15345,2
932,1610,2900,2
933,11472,21220,2
934,19537,24004,2
935,8464,19252,2
936,15677,23623,2
937,8987,14135,2
938,21890,26579,2
939,20053,25983,2
940,22181,22721,2
941,24918,30621,2
942,3731,15685,2
943,2820,21662,2
944,1722,24084,2
945,6006,7851,2
946,4079,27560,2
947,20071,24819,2
948,19181,21663,2
949,12058,23159,2
950,20243,23182,2
951,24494,27198,2
952,4833,23944,2
953,23614,24706,2
954,18356,23278,2
955,17700,24141,2
956,10268,25637,2
957,2,19797,2
958,87,20761,2
959,11233,20842,2
960,18690,27635,2
961,6623,7865,2
962,10014,20268,2
963,18579,22543,2
964,17450,23634,2
965,18356,20675,2
966,9874,24158,2
967,23028,26352,2
968,10060,15270,2
969,1500,11022,2
970,9880,22601,2
971,6006,21099,2
972,5023,11470,2
973,18806,22588,2
974,18574,21388,2
975,4842,15521,2
976,15787,24377,2
977,7345,23771,2
978,4632,18623,2
979,2476,14217,2
980,6293,23623,2
981,21890,25272,2
982,6569,20883,2
983,7345,23130,2
984,12961,23623,2
985,18623,28210,2
986,26434,30292,2
987,20718,21603,2
988,431,22710,2
989,11026,26740,2
990,15401,23771,2
991,4845,24492,2
992,15169,16558,2
993,11025,18356,2
994,3309,15275,2
995,19537,28861,2
996,1069,5186,2
997,18030,19492,2
998,3006,18839,2
999,21213,24095,2
1000,24492,26333,2
1001,16685,28195,2
1002,21380,26434,2
1003,21235,21662,2
1004,15986,26146,2
1005,562,12687,2
1006,24975,30351,2
1007,18306,25801,2
1008,18356,19792,2
1009,6510,20245,2
1010,10776,25401,2
1011,15830,18499,2
1012,22205,30495,2
1013,23016,29196,2
1014,23016,28089,2
1015,773,18548,2
1016,23278,24828,2
1017,2820,26200,2
1018,20892,23623,2
1019,10600,30282,2
1020,20963,24828,2
1021,10070,14843,2
1022,11462,17059,2
1023,19536,31249,2
1024,21451,25076,2
1025,2476,19238,2
1026,9272,20375,2
1027,24860,29469,2
1028,11001,12846,2
1029,10678,10679,2
1030,4736,24377,2
1031,20449,21662,2
1032,16558,25957,2
1033,8021,22079,2
1034,16610,19137,2
1035,16753,21603,2
1036,19011,23141,2
1037,4833,19008,2
1038,8763,15194,2
1039,20332,24377,2
1040,6510,11624,2
1041,21110,23147,2
1042,16569,24095,2
1043,10149,20842,2
1044,18356,24377,2
1045,6393,6783,2
1046,2757,14315,2
1047,17445,26579,2
1048,22396,26111,2
1049,10698,19288,2
1050,6510,9527,2
1051,8404,19612,2
1052,9375,27560,2
1053,17278,18344,2
1054,11749,21856,2
1055,10058,30292,2
1056,17149,24492,2
1057,21662,29148,2
1058,1722,12885,2
1059,23790,28110,2
1060,23898,27883,2
1061,9104,21311,2
1062,23623,29054,2
1063,13967,24924,2
1064,963,13534,2
1065,6510,21220,2
1066,6510,13276,2
1067,15165,16833,2
1068,18865,20164,2
1069,14629,20397,2
1070,11624,28120,2
1071,15086,19064,2
1072,17278,23278,2
1073,11199,17812,2
1074,8556,16884,2
1075,10268,15275,2
1076,14269,22079,2
1077,17822,19064,2
1078,10678,24432,2
1079,17278,19537,2
1080,12325,19730,2
1081,14946,27434,2
1082,21697,21909,2
1083,22303,29054,2
